Mission Name,Mission Type,Country,Launch Site,Budget (in Billion $),Success Rate (%),Satellite Type,Technology Used,Environmental Impact,Mission Duration (Days),Company,Location,Datum (Launch DateTime),Rocket Name,Status Rocket,Rocket Cost (in $ Million),Status Mission,Year
USA-Spy-Ariane-2010-001,Satellite Deployment,USA,Kourou,19.04,88.55,Spy,Reusable Rocket,Low,119,ISRO,Kourou,2010-03-01 05:50:00,Ariane 5,Active,22284.96,Success,2010
Russia-Communication-Long-2010-002,Unmanned,Russia,Cape Canaveral,8.22,62.27,Communication,Traditional Rocket,High,377,NASA,Cape Canaveral,2010-07-10 22:01:00,Long March 5,Retired,5701.36,Failure,2010
UAE-Spy-Falcon-2016-003,Research,UAE,Jiuquan,30.26,60.8,Spy,Reusable Rocket,High,148,ESA,Jiuquan,2016-09-08 17:33:00,Falcon 9,Retired,31011.77,Partial Failure,2016
Russia-Navigation-Falcon-2008-004,Manned,Russia,Kourou,41.71,67.09,Navigation,Traditional Rocket,High,226,ISRO,Kourou,2008-12-01 04:09:00,Falcon 9,Retired,30340.0,Success,2008
USA-Communication-Long-2021-005,Research,USA,Cape Canaveral,15.56,76.85,Communication,Traditional Rocket,Low,235,Blue Origin,Cape Canaveral,2021-02-07 10:52:00,Long March 5,Retired,14235.13,Success,2021
UAE-Communication-New-2010-006,Satellite Deployment,UAE,Cape Canaveral,30.79,71.39,Communication,Traditional Rocket,Medium,9,Roscosmos,Cape Canaveral,2010-06-06 22:17:00,New Shepard,Retired,21051.01,Success,2010
UAE-Communication-GSLV-2009-007,Satellite Deployment,UAE,Baikonur,23.08,67.79,Communication,Traditional Rocket,Low,76,ISRO,Baikonur,2009-10-19 11:08:00,GSLV Mk III,Retired,24721.12,Success,2009
India-Research-Falcon-2008-008,Research,India,Al Dhafra,29.82,83.69,Research,Traditional Rocket,Low,138,Roscosmos,Al Dhafra,2008-12-09 13:42:00,Falcon 9,Active,18723.09,Success,2008
UAE-Navigation-GSLV-2023-009,Research,UAE,Jiuquan,3.72,97.66,Navigation,Hybrid Propulsion,High,197,NASA,Jiuquan,2023-12-07 14:59:00,GSLV Mk III,Active,4349.91,Failure,2023
China-Communication-New-2023-010,Research,China,Cape Canaveral,15.58,86.69,Communication,Hybrid Propulsion,Medium,217,NASA,Cape Canaveral,2023-01-01 05:58:00,New Shepard,Active,10261.04,Success,2023
USA-Research-Long-2007-011,Unmanned,USA,Al Dhafra,6.54,61.34,Research,Traditional Rocket,Medium,318,ISRO,Al Dhafra,2007-09-07 22:24:00,Long March 5,Active,5867.07,Partial Failure,2007
India-Weather-GSLV-2006-012,Satellite Deployment,India,Jiuquan,13.31,72.16,Weather,AI-Based Navigation,High,360,ESA,Jiuquan,2006-05-27 14:36:00,GSLV Mk III,Retired,13276.9,Success,2006
China-Navigation-New-2015-013,Manned,China,Kourou,27.56,97.81,Navigation,Hybrid Propulsion,Low,193,NASA,Kourou,2015-01-28 06:58:00,New Shepard,Active,19592.75,Failure,2015
Russia-Communication-GSLV-2005-014,Unmanned,Russia,Jiuquan,47.01,83.32,Communication,Reusable Rocket,Medium,118,Blue Origin,Jiuquan,2005-03-09 11:33:00,GSLV Mk III,Active,53445.5,Partial Failure,2005
France-Spy-Long-2008-015,Research,France,Al Dhafra,4.88,61.76,Spy,AI-Based Navigation,Low,48,NASA,Al Dhafra,2008-05-05 09:04:00,Long March 5,Active,3501.84,Success,2008
France-Research-New-2020-016,Manned,France,Cape Canaveral,19.74,92.32,Research,Hybrid Propulsion,High,282,Blue Origin,Cape Canaveral,2020-01-21 22:22:00,New Shepard,Retired,15057.86,Success,2020
UAE-Navigation-GSLV-2017-017,Satellite Deployment,UAE,Kourou,14.41,65.5,Navigation,Traditional Rocket,Medium,193,SpaceX,Kourou,2017-03-20 20:31:00,GSLV Mk III,Active,13338.15,Failure,2017
UAE-Communication-Ariane-2013-018,Manned,UAE,Baikonur,4.19,90.12,Communication,AI-Based Navigation,Medium,297,Roscosmos,Baikonur,2013-01-17 04:03:00,Ariane 5,Active,4995.03,Success,2013
USA-Navigation-Long-2005-019,Unmanned,USA,Cape Canaveral,0.77,87.57,Navigation,Reusable Rocket,High,395,Blue Origin,Cape Canaveral,2005-12-10 22:55:00,Long March 5,Active,838.74,Success,2005
UAE-Weather-Soyuz-2011-020,Unmanned,UAE,Al Dhafra,38.68,73.98,Weather,Traditional Rocket,Medium,229,ESA,Al Dhafra,2011-03-28 00:14:00,Soyuz,Retired,24926.43,Success,2011
India-Research-GSLV-2006-021,Satellite Deployment,India,Cape Canaveral,43.22,72.91,Research,Hybrid Propulsion,Low,201,Roscosmos,Cape Canaveral,2006-02-11 14:43:00,GSLV Mk III,Retired,42095.37,Success,2006
India-Spy-Long-2011-022,Unmanned,India,Kourou,15.89,88.45,Spy,Hybrid Propulsion,Medium,325,SpaceX,Kourou,2011-12-12 23:55:00,Long March 5,Retired,12634.3,Success,2011
Russia-Research-New-2011-023,Research,Russia,Baikonur,44.42,64.66,Research,Reusable Rocket,Medium,215,ESA,Baikonur,2011-12-24 12:28:00,New Shepard,Active,39237.47,Success,2011
France-Communication-Long-2006-024,Unmanned,France,Cape Canaveral,38.16,90.07,Communication,Reusable Rocket,Low,122,ISRO,Cape Canaveral,2006-01-15 02:40:00,Long March 5,Active,35747.0,Success,2006
India-Spy-Soyuz-2012-025,Unmanned,India,Baikonur,26.38,60.99,Spy,AI-Based Navigation,Low,183,NASA,Baikonur,2012-10-21 06:48:00,Soyuz,Retired,22595.12,Success,2012
UAE-Spy-GSLV-2015-026,Satellite Deployment,UAE,Al Dhafra,2.06,72.26,Spy,Hybrid Propulsion,Low,101,NASA,Al Dhafra,2015-11-18 06:39:00,GSLV Mk III,Retired,2022.6,Success,2015
China-Communication-Soyuz-2016-027,Unmanned,China,Baikonur,45.42,76.0,Communication,Traditional Rocket,Medium,274,Roscosmos,Baikonur,2016-12-25 18:06:00,Soyuz,Active,34045.71,Failure,2016
France-Research-Ariane-2022-028,Unmanned,France,Cape Canaveral,11.83,71.3,Research,Traditional Rocket,Low,368,Blue Origin,Cape Canaveral,2022-09-02 03:20:00,Ariane 5,Active,7644.4,Success,2022
USA-Communication-Soyuz-2016-029,Manned,USA,Baikonur,46.52,84.7,Communication,Reusable Rocket,Medium,5,ESA,Baikonur,2016-01-17 06:18:00,Soyuz,Retired,50468.26,Failure,2016
USA-Navigation-New-2022-030,Manned,USA,Kourou,40.28,94.81,Navigation,Reusable Rocket,Low,385,SpaceX,Kourou,2022-02-17 15:55:00,New Shepard,Active,28677.03,Success,2022
China-Communication-GSLV-2006-031,Satellite Deployment,China,Jiuquan,40.47,72.4,Communication,Reusable Rocket,Low,298,SpaceX,Jiuquan,2006-04-19 14:08:00,GSLV Mk III,Retired,46040.89,Success,2006
USA-Communication-GSLV-2022-032,Satellite Deployment,USA,Jiuquan,11.78,91.9,Communication,Traditional Rocket,High,46,NASA,Jiuquan,2022-10-03 05:57:00,GSLV Mk III,Retired,10086.8,Failure,2022
USA-Research-Soyuz-2023-033,Manned,USA,Kourou,0.84,76.28,Research,AI-Based Navigation,High,14,ESA,Kourou,2023-07-12 06:10:00,Soyuz,Active,761.42,Success,2023
China-Spy-GSLV-2021-034,Manned,China,Sriharikota,6.43,96.77,Spy,Hybrid Propulsion,High,251,NASA,Sriharikota,2021-12-09 19:36:00,GSLV Mk III,Retired,5160.52,Success,2021
Russia-Weather-Falcon-2014-035,Manned,Russia,Cape Canaveral,26.18,74.18,Weather,AI-Based Navigation,Medium,341,Blue Origin,Cape Canaveral,2014-07-26 11:17:00,Falcon 9,Retired,26751.02,Partial Failure,2014
USA-Research-Long-2016-036,Research,USA,Sriharikota,48.14,79.39,Research,Reusable Rocket,Low,114,NASA,Sriharikota,2016-02-05 16:34:00,Long March 5,Active,36156.48,Success,2016
UAE-Spy-Long-2006-037,Satellite Deployment,UAE,Al Dhafra,14.6,83.77,Spy,Traditional Rocket,Medium,215,NASA,Al Dhafra,2006-03-18 00:14:00,Long March 5,Retired,9083.13,Success,2006
France-Weather-Ariane-2009-038,Manned,France,Al Dhafra,3.05,95.42,Weather,AI-Based Navigation,High,178,SpaceX,Al Dhafra,2009-04-03 20:52:00,Ariane 5,Retired,2339.92,Success,2009
Russia-Navigation-GSLV-2012-039,Unmanned,Russia,Sriharikota,7.67,98.44,Navigation,Traditional Rocket,High,178,NASA,Sriharikota,2012-10-10 01:45:00,GSLV Mk III,Retired,6854.46,Success,2012
France-Weather-GSLV-2011-040,Unmanned,France,Kourou,33.77,69.27,Weather,AI-Based Navigation,Low,100,Blue Origin,Kourou,2011-11-13 00:49:00,GSLV Mk III,Retired,35693.94,Success,2011
USA-Communication-New-2012-041,Unmanned,USA,Jiuquan,18.71,84.71,Communication,Hybrid Propulsion,Medium,210,Roscosmos,Jiuquan,2012-12-18 22:42:00,New Shepard,Retired,18324.27,Success,2012
China-Communication-Ariane-2007-042,Research,China,Kourou,4.97,72.51,Communication,Reusable Rocket,Low,161,NASA,Kourou,2007-10-23 17:37:00,Ariane 5,Active,5472.87,Success,2007
USA-Spy-GSLV-2014-043,Manned,USA,Al Dhafra,2.52,86.43,Spy,Hybrid Propulsion,High,236,Blue Origin,Al Dhafra,2014-07-08 10:15:00,GSLV Mk III,Active,2405.43,Success,2014
India-Navigation-New-2007-044,Satellite Deployment,India,Baikonur,25.85,85.16,Navigation,Hybrid Propulsion,Low,160,SpaceX,Baikonur,2007-12-04 00:35:00,New Shepard,Retired,19022.95,Success,2007
Russia-Communication-GSLV-2011-045,Manned,Russia,Al Dhafra,34.7,96.53,Communication,AI-Based Navigation,Medium,35,ESA,Al Dhafra,2011-12-09 21:38:00,GSLV Mk III,Active,28871.83,Success,2011
USA-Spy-New-2012-046,Research,USA,Jiuquan,17.38,96.06,Spy,Reusable Rocket,Low,300,NASA,Jiuquan,2012-12-10 07:27:00,New Shepard,Retired,11611.3,Failure,2012
UAE-Weather-Falcon-2009-047,Unmanned,UAE,Cape Canaveral,13.27,91.87,Weather,Traditional Rocket,High,228,Blue Origin,Cape Canaveral,2009-04-15 13:18:00,Falcon 9,Active,13216.79,Success,2009
India-Weather-Ariane-2013-048,Satellite Deployment,India,Sriharikota,26.72,63.63,Weather,Reusable Rocket,Medium,330,Roscosmos,Sriharikota,2013-04-27 18:23:00,Ariane 5,Active,19909.38,Failure,2013
UAE-Communication-New-2005-049,Research,UAE,Baikonur,45.07,73.22,Communication,Reusable Rocket,Medium,98,SpaceX,Baikonur,2005-08-22 06:34:00,New Shepard,Retired,44162.33,Success,2005
China-Communication-Soyuz-2010-050,Research,China,Baikonur,36.43,94.6,Communication,Reusable Rocket,High,171,NASA,Baikonur,2010-10-12 08:30:00,Soyuz,Active,41467.04,Failure,2010
UAE-Research-Ariane-2024-051,Research,UAE,Kourou,32.28,66.3,Research,AI-Based Navigation,High,152,ESA,Kourou,2024-10-22 02:18:00,Ariane 5,Retired,20997.62,Failure,2024
USA-Weather-New-2024-052,Manned,USA,Al Dhafra,30.52,63.96,Weather,AI-Based Navigation,Medium,392,Roscosmos,Al Dhafra,2024-04-10 18:56:00,New Shepard,Active,18480.42,Success,2024
UAE-Research-GSLV-2017-053,Satellite Deployment,UAE,Jiuquan,0.75,81.4,Research,Reusable Rocket,Low,81,ESA,Jiuquan,2017-08-21 04:58:00,GSLV Mk III,Active,522.36,Success,2017
France-Weather-Long-2016-054,Unmanned,France,Sriharikota,32.77,87.77,Weather,AI-Based Navigation,Medium,289,ISRO,Sriharikota,2016-09-04 12:01:00,Long March 5,Retired,24071.58,Success,2016
France-Communication-Ariane-2016-055,Unmanned,France,Kourou,16.61,85.34,Communication,Hybrid Propulsion,High,231,SpaceX,Kourou,2016-03-15 14:42:00,Ariane 5,Active,17405.53,Failure,2016
UAE-Weather-Soyuz-2011-056,Satellite Deployment,UAE,Baikonur,33.05,63.65,Weather,AI-Based Navigation,Low,283,NASA,Baikonur,2011-04-24 21:43:00,Soyuz,Retired,31099.56,Success,2011
India-Spy-New-2012-057,Research,India,Cape Canaveral,13.63,97.95,Spy,Reusable Rocket,High,15,ISRO,Cape Canaveral,2012-09-03 04:38:00,New Shepard,Active,10173.35,Success,2012
UAE-Spy-Soyuz-2015-058,Manned,UAE,Jiuquan,44.66,91.0,Spy,Hybrid Propulsion,High,110,SpaceX,Jiuquan,2015-12-18 02:13:00,Soyuz,Active,43707.99,Success,2015
France-Research-New-2010-059,Satellite Deployment,France,Jiuquan,29.06,67.61,Research,Hybrid Propulsion,Low,181,Blue Origin,Jiuquan,2010-08-26 10:57:00,New Shepard,Retired,26023.54,Success,2010
USA-Research-Falcon-2021-060,Research,USA,Cape Canaveral,14.4,85.17,Research,Traditional Rocket,High,170,NASA,Cape Canaveral,2021-11-15 16:40:00,Falcon 9,Active,8850.09,Success,2021
UAE-Weather-Falcon-2022-061,Manned,UAE,Baikonur,47.05,95.68,Weather,Reusable Rocket,High,178,NASA,Baikonur,2022-08-17 09:55:00,Falcon 9,Retired,55159.4,Success,2022
France-Communication-Ariane-2016-062,Research,France,Baikonur,1.27,76.7,Communication,AI-Based Navigation,High,385,SpaceX,Baikonur,2016-01-10 11:18:00,Ariane 5,Active,1469.38,Partial Failure,2016
France-Research-GSLV-2018-063,Manned,France,Cape Canaveral,48.2,71.48,Research,Reusable Rocket,Low,33,Blue Origin,Cape Canaveral,2018-07-23 20:30:00,GSLV Mk III,Retired,53589.03,Success,2018
UAE-Communication-New-2016-064,Unmanned,UAE,Al Dhafra,42.63,66.61,Communication,Traditional Rocket,Low,237,SpaceX,Al Dhafra,2016-05-23 23:30:00,New Shepard,Active,33684.23,Success,2016
France-Research-GSLV-2006-065,Manned,France,Sriharikota,46.84,82.23,Research,Hybrid Propulsion,Low,116,ISRO,Sriharikota,2006-08-03 21:05:00,GSLV Mk III,Retired,47665.22,Success,2006
China-Research-Long-2009-066,Manned,China,Al Dhafra,30.94,65.46,Research,AI-Based Navigation,High,343,Blue Origin,Al Dhafra,2009-10-06 20:13:00,Long March 5,Retired,36943.36,Success,2009
Russia-Spy-Falcon-2012-067,Unmanned,Russia,Kourou,43.93,87.18,Spy,Hybrid Propulsion,High,281,Roscosmos,Kourou,2012-02-28 12:55:00,Falcon 9,Active,45883.18,Success,2012
USA-Research-Ariane-2012-068,Satellite Deployment,USA,Jiuquan,18.29,91.57,Research,Hybrid Propulsion,High,377,Roscosmos,Jiuquan,2012-05-20 17:41:00,Ariane 5,Retired,14195.88,Failure,2012
France-Weather-Soyuz-2008-069,Manned,France,Jiuquan,43.42,79.94,Weather,Traditional Rocket,Medium,358,Blue Origin,Jiuquan,2008-02-23 15:47:00,Soyuz,Retired,49843.74,Success,2008
UAE-Navigation-Ariane-2008-070,Unmanned,UAE,Cape Canaveral,40.02,87.38,Navigation,Traditional Rocket,Medium,68,ISRO,Cape Canaveral,2008-07-18 15:47:00,Ariane 5,Active,39618.93,Failure,2008
USA-Navigation-Soyuz-2020-071,Satellite Deployment,USA,Kourou,44.56,74.65,Navigation,AI-Based Navigation,Medium,373,Roscosmos,Kourou,2020-05-11 07:04:00,Soyuz,Active,35772.64,Success,2020
China-Navigation-Ariane-2014-072,Manned,China,Cape Canaveral,29.12,78.16,Navigation,Reusable Rocket,Low,138,Blue Origin,Cape Canaveral,2014-05-11 21:07:00,Ariane 5,Retired,18099.98,Success,2014
India-Spy-New-2006-073,Satellite Deployment,India,Jiuquan,14.68,61.19,Spy,Reusable Rocket,Low,357,Blue Origin,Jiuquan,2006-10-21 18:51:00,New Shepard,Active,14012.06,Success,2006
China-Navigation-Ariane-2005-074,Satellite Deployment,China,Jiuquan,41.22,64.96,Navigation,AI-Based Navigation,High,211,SpaceX,Jiuquan,2005-02-20 02:35:00,Ariane 5,Retired,33640.23,Success,2005
USA-Weather-GSLV-2011-075,Unmanned,USA,Cape Canaveral,38.61,84.29,Weather,Reusable Rocket,High,117,NASA,Cape Canaveral,2011-06-13 10:17:00,GSLV Mk III,Active,28165.71,Success,2011
France-Navigation-Soyuz-2010-076,Satellite Deployment,France,Jiuquan,3.06,81.08,Navigation,AI-Based Navigation,High,29,SpaceX,Jiuquan,2010-12-05 20:37:00,Soyuz,Retired,2811.57,Success,2010
USA-Spy-New-2020-077,Research,USA,Jiuquan,36.44,80.14,Spy,Hybrid Propulsion,Low,131,Blue Origin,Jiuquan,2020-03-17 03:21:00,New Shepard,Active,43200.03,Success,2020
UAE-Weather-Ariane-2018-078,Manned,UAE,Baikonur,39.86,77.12,Weather,Hybrid Propulsion,Medium,140,Blue Origin,Baikonur,2018-03-03 03:11:00,Ariane 5,Retired,30393.22,Success,2018
India-Research-New-2012-079,Research,India,Kourou,1.75,92.6,Research,AI-Based Navigation,High,234,ESA,Kourou,2012-01-13 03:29:00,New Shepard,Retired,2060.78,Success,2012
France-Spy-Ariane-2014-080,Satellite Deployment,France,Baikonur,20.74,66.1,Spy,Hybrid Propulsion,Medium,103,SpaceX,Baikonur,2014-01-01 11:45:00,Ariane 5,Active,14600.47,Success,2014
France-Navigation-New-2009-081,Manned,France,Cape Canaveral,27.69,85.75,Navigation,Hybrid Propulsion,Low,385,ESA,Cape Canaveral,2009-06-10 13:15:00,New Shepard,Active,28486.3,Success,2009
France-Weather-Ariane-2010-082,Manned,France,Al Dhafra,47.77,81.62,Weather,AI-Based Navigation,Low,150,ISRO,Al Dhafra,2010-11-28 18:57:00,Ariane 5,Retired,49811.6,Success,2010
USA-Spy-New-2006-083,Satellite Deployment,USA,Kourou,21.27,73.88,Spy,AI-Based Navigation,Low,2,Roscosmos,Kourou,2006-10-25 09:15:00,New Shepard,Active,15923.54,Failure,2006
USA-Research-Ariane-2013-084,Manned,USA,Al Dhafra,1.21,61.79,Research,Hybrid Propulsion,High,172,NASA,Al Dhafra,2013-04-03 13:39:00,Ariane 5,Retired,810.27,Success,2013
China-Navigation-New-2011-085,Manned,China,Cape Canaveral,42.85,78.49,Navigation,Hybrid Propulsion,High,137,Blue Origin,Cape Canaveral,2011-04-13 10:45:00,New Shepard,Retired,43801.04,Success,2011
France-Research-Ariane-2010-086,Unmanned,France,Sriharikota,24.83,66.75,Research,Reusable Rocket,Medium,324,Blue Origin,Sriharikota,2010-03-26 23:47:00,Ariane 5,Active,21951.78,Success,2010
France-Spy-Soyuz-2020-087,Research,France,Baikonur,20.23,84.77,Spy,Traditional Rocket,High,250,ESA,Baikonur,2020-03-03 03:02:00,Soyuz,Retired,19613.19,Success,2020
USA-Navigation-New-2006-088,Satellite Deployment,USA,Al Dhafra,19.04,79.62,Navigation,AI-Based Navigation,Low,360,Blue Origin,Al Dhafra,2006-10-27 15:18:00,New Shepard,Retired,18573.82,Failure,2006
India-Communication-Falcon-2012-089,Research,India,Cape Canaveral,33.11,62.75,Communication,Reusable Rocket,Medium,70,ISRO,Cape Canaveral,2012-11-12 10:05:00,Falcon 9,Active,23102.86,Success,2012
France-Communication-Soyuz-2018-090,Research,France,Jiuquan,1.81,96.67,Communication,AI-Based Navigation,Low,214,SpaceX,Jiuquan,2018-12-11 03:46:00,Soyuz,Active,1722.15,Success,2018
UAE-Communication-GSLV-2023-091,Unmanned,UAE,Kourou,19.71,77.87,Communication,AI-Based Navigation,Medium,23,SpaceX,Kourou,2023-09-13 21:56:00,GSLV Mk III,Active,19433.53,Success,2023
France-Spy-Long-2023-092,Satellite Deployment,France,Sriharikota,47.1,97.49,Spy,Reusable Rocket,Medium,170,NASA,Sriharikota,2023-05-13 10:49:00,Long March 5,Retired,39171.26,Partial Failure,2023
UAE-Communication-Ariane-2023-093,Research,UAE,Cape Canaveral,10.19,63.93,Communication,AI-Based Navigation,High,393,NASA,Cape Canaveral,2023-02-14 21:40:00,Ariane 5,Retired,6538.07,Success,2023
UAE-Navigation-New-2006-094,Satellite Deployment,UAE,Sriharikota,5.17,62.78,Navigation,Traditional Rocket,High,41,ESA,Sriharikota,2006-05-01 05:23:00,New Shepard,Active,5220.69,Success,2006
Russia-Navigation-New-2016-095,Manned,Russia,Cape Canaveral,42.32,91.76,Navigation,Hybrid Propulsion,Low,193,Blue Origin,Cape Canaveral,2016-02-03 01:36:00,New Shepard,Retired,25982.92,Success,2016
China-Weather-New-2008-096,Research,China,Baikonur,6.35,84.53,Weather,Traditional Rocket,Medium,380,ESA,Baikonur,2008-01-14 00:50:00,New Shepard,Retired,6464.57,Failure,2008
India-Research-GSLV-2021-097,Unmanned,India,Jiuquan,36.89,71.0,Research,Reusable Rocket,High,334,NASA,Jiuquan,2021-07-14 00:48:00,GSLV Mk III,Active,39918.25,Success,2021
USA-Weather-Falcon-2005-098,Research,USA,Al Dhafra,37.66,98.63,Weather,Hybrid Propulsion,Low,175,NASA,Al Dhafra,2005-07-16 23:05:00,Falcon 9,Active,40827.24,Success,2005
